name|orcid|month_of_birth|year_of_birth|mail
Kim-Kwang Raymond Choo|7477-2679-0451-9003|6|1950|yWFeJ@gmail.com
Prasan Roy|9548-6249-4144-3672|6|1960|sANaLsD@gmail.com
Zeina Torbey|0274-6926-5488-1746|4|1941|CTcmCeN@mail.polimi.it
Hartmut Vogler|6632-7045-4364-0966|8|1944|GzuGa@mail.polimi.it
Gautam H. Thaker|1781-1630-2356-4039|9|1952|pRFSCA@duck.com
Sebastian Tietz|1569-1532-7830-2394|10|1950|jDQsuN@mail.polimi.it
Ludovic Dubost|7122-4440-4442-6484|7|1965|KlUzfn@duck.com
Dawei Jiang|4913-5421-5593-6409|7|1986|RUiwo@gmail.com
Chiang Lee|7266-1457-1698-8907|6|1984|rzsguD@mail.polimi.it
Sanjiva Weerawarana|9764-3330-6685-9245|11|1975|GGSErIl@duck.com
Mohamed Sellami|0000-0002-7547-1857|3|1951|rarXQij@outlook.it
Alastair Peter Dunsmore|1195-4887-0262-8177|7|1968|WxvNpo@mail.polimi.it
Alexander Tuzhilin|3299-3323-2462-9323|4|1974|fljxqx@tiscali.it
Diaraf Seck|8167-5368-4475-2004|8|1980|kSJov@gmail.com
Paola Bonfante|0000-0003-3576-8530|9|1953|pxpJI@duck.com
Philipp Cimiano|6337-3866-0650-6531|2|1979|lEizZft@mail.polimi.it
Aaron Bostrom|4372-1079-6260-7975|7|1960|MeXkPs@gmail.com
Maxime Boudreault|0054-2753-9115-9288|11|1968|tthOLIK@duck.com
Sara Bertoni|0000-0002-0985-0373|4|1964|JZGaJ@gmail.com
Nenad Stojanovic|0529-3372-7155-8783|8|1963|wmPYdm@tiscali.it
Martin Dietzfelbinger|6497-6684-8915-4356|2|1972|uNewCy@gmail.com
Alexander Shapiro|2981-9541-0662-5982|5|1952|CmVEcy@gmail.com
Tom Addis|5949-5247-9347-6567|10|1970|JQpfs@tiscali.it
David Korfkamp|5371-4156-4546-1128|1|1960|zFHImY@duck.com
Goetz Graefe|5107-8707-0945-0942|5|1960|qlluam@gmail.com
Anisoara Nica|1183-2716-0400-5819|3|1959|dcihvQJ@mail.polimi.it
Durga Prasad Bavirisetti|5777-4773-5251-8417|9|1942|jRtUuJJ@outlook.it
René Noël|0000-0002-3652-4645|12|1948|AkDFS@mail.polimi.it
Gianfranco Lombardo|0000-0003-1808-4487|3|1970|RVNFj@outlook.it
W. Hower|2845-2230-7737-0026|6|1986|gvoHrTO@tiscali.it
Mikhail Malyutov|3342-9118-0805-1482|2|1969|wvikN@outlook.it
Marya Ershova|0657-6182-7731-4765|4|1987|qhqxeaM@duck.com
Jonathan Rouzaud-Cornabas|1262-0239-0870-2936|5|1962|aNLnCR@tiscali.it
Angelo Brayner|6978-9367-2124-7506|1|1942|eBpPC@duck.com
Dino Lopez Pacheco|2745-1220-3930-0831|4|1962|Igfng@gmail.com
Elke A. Rundensteiner|3542-6690-6603-9508|5|1952|zFMqHzM@mail.polimi.it
Amel Bouzeghoub|1291-2224-2636-9374|8|1988|CRKlsRh@mail.polimi.it
Muhammad Hoque|8484-6562-0424-1983|2|1975|WcVAr@duck.com
Mustapha Bekhti|8979-8453-6682-1496|5|1963|qUkvR@gmail.com
Jinchuan Chen|6074-8884-3251-4137|8|1972|SyPhiWI@tiscali.it
Stephan Heuel|8027-3519-4685-9151|6|1946|dcUSXyW@gmail.com
Mohamed M. Sabry|6220-1958-0490-4298|6|1986|KvBvY@gmail.com
Manuel Laguna|7578-9941-0493-8233|3|1976|vpmfBd@gmail.com
Thomas H. Lenhard|9583-5694-8325-6998|8|1977|TZEEqYx@gmail.com
Arrigo Cellina|6650-0455-8948-9367|3|1963|ebwRWn@duck.com
Timothy Miles-Board|9857-3873-3415-0566|10|1940|GBMuY@duck.com
Lee Naish|5221-5232-8894-6828|6|1961|CNLFz@gmail.com
Lukasz Golab|2187-9178-8681-7323|7|1974|ZBFvD@outlook.it
Kay A. Robbins|9873-8972-6508-1102|2|1954|RmWJq@gmail.com
V. Dupuis|9707-7956-0814-1672|11|1946|gqAvMXT@duck.com
Agnieszka Barbara Kolasinska|8969-0042-5296-8194|10|1945|oSVywR@duck.com
Andrzej Blikle|9123-6114-1457-1054|3|1988|AQurtb@duck.com
Amel Benna|5303-4528-0310-6770|10|1970|mOGHFcW@duck.com
Elisabeth Rakus-Andersson|5830-2639-1310-3014|3|1974|NJxYtLf@mail.polimi.it
Alan F. Blackwell|8335-0933-5574-3721|6|1983|CTETF@outlook.it
Abderrafiaa Koukam|3876-4289-1414-3540|6|1955|TRDcfJ@duck.com
W. A. Gray|9215-9896-4973-8455|6|1988|KyxhW@mail.polimi.it
Cristina Estéban|2119-5587-1727-8132|2|1967|moVMCWv@gmail.com
Jakub Simko|5579-6559-0594-6272|12|1972|ClRGqf@outlook.it
Bernhard Steffen|5800-5821-6931-2218|12|1976|izGmHBb@outlook.it
Claudia Raibulet|0000-0002-7194-3159|4|1979|ImRki@tiscali.it
Soumendu Chakraborty|4737-4172-5572-6429|11|1978|aCXXmYM@gmail.com
Ondrej Soukup|4840-4325-6648-9391|12|1982|qLFOmLT@tiscali.it
Jifu Zhang|9477-5546-5358-3361|7|1982|EXViR@duck.com
Markus Zanker|3279-3436-0706-6737|1|1967|hTRjyv@tiscali.it
Emmanuelle Anceaume|6549-4787-1138-9573|1|1964|ReXJQFm@mail.polimi.it
Yves A. Lussier|0898-5147-1739-1238|7|1988|AMaBxw@mail.polimi.it
Mehdi Ahmed-Nacer|7550-6298-0720-7179|11|1944|ckvROU@mail.polimi.it
Armir Bujari|0000-0002-1955-7699|8|1953|hVTyq@outlook.it
Aniruddha S. Gokhale|0000-0002-7706-7102|11|1963|foyhT@mail.polimi.it
Nicolas Usunier|5929-5693-3480-0734|7|1965|KDgMJHZ@duck.com
Flavio Ferrarotti|6153-4317-5015-0519|2|1973|lyGFG@duck.com
Abderrazzak El Khayari|8193-0107-5835-6346|11|1963|vMQtcy@duck.com
Andrzej M. Goscinski|9780-2326-6638-9700|11|1977|KZTzncv@tiscali.it
Kostas Stathis|0000-0002-9946-4037|5|1959|rgLYlLV@mail.polimi.it
Renaud Litré|6424-2218-9542-3216|1|1976|VAPQW@mail.polimi.it
Martin Adams|0465-1412-3628-3730|12|1944|RZUPt@duck.com
Jean-Marc Petit|4340-3324-5596-3545|5|1978|LxmjrFt@tiscali.it
Yong Ren 0001|4566-3119-5953-9908|7|1979|lFVfumq@gmail.com
Leen Ammeraal|8688-6887-0747-6228|11|1943|EweLg@duck.com
Sylvain Conchon|8559-9560-0389-5492|11|1974|yNDkCy@tiscali.it
Alek Felstiner|4823-4242-9967-3946|4|1982|KtTzE@duck.com
Philippe Pucheral|2786-6730-2213-5099|11|1950|EWFcQf@mail.polimi.it
Okan Topçu|0000-0003-3900-0078|12|1963|gcmChVT@gmail.com
Ting Yu 0001|4676-0233-0092-5623|9|1940|wExEmw@outlook.it
Teuvo Kohonen|4901-3506-6851-1018|5|1951|dhRYLl@gmail.com
Pavan Balaji|1081-3404-1029-8488|5|1955|YFcnP@mail.polimi.it
Stanley B. Zdonik|1965-4100-8757-4103|5|1980|gxEtd@tiscali.it
Marius Breitmayer|4437-3586-0929-8674|9|1947|nHvBOT@tiscali.it
Yang Du|1283-2177-0277-6477|3|1970|bgExFS@gmail.com
Francesco Frulio|5459-1665-3640-9884|6|1965|GyoNcdu@tiscali.it
Oleg V. Shylo|7294-1282-3765-4892|4|1956|sbXFI@tiscali.it
Veronique Smahi|6939-3663-1962-1031|9|1978|Oanut@duck.com
Carlos Gershenson|0000-0003-0193-3067|10|1972|UnTzdI@tiscali.it
Nico Hempe|4948-2319-8098-7678|7|1965|jsreoW@tiscali.it
Una-May O'Reilly|1107-3476-7781-1055|5|1981|ZpqoC@mail.polimi.it
Gustavo Alonso|8061-5528-0371-6735|5|1968|QwvafkT@outlook.it
Kevin O'Toole|8119-9485-2171-1740|11|1988|tGvVPV@outlook.it
Rachid Bouaziz|5037-7565-9289-6411|3|1956|SmurE@outlook.it
Renny S. N. Lindberg|7127-7360-4694-5225|8|1975|skaAAK@tiscali.it
Phil Kim|1079-2718-7611-5216|5|1944|PsXYKKz@gmail.com
Ian Arundale|1532-3310-2875-0830|5|1967|oHcxWSS@duck.com
Boris Katz|0160-7484-5637-0155|2|1943|gmMhHsy@tiscali.it
Chen Li 0001|2451-2187-8591-4011|9|1967|eyKlF@gmail.com
Unnikrishnan Cheramangalath|2907-7436-6230-3854|8|1971|sMoRUj@duck.com
Philippe Caillou|3773-5353-5349-1197|9|1977|lSvqbJ@mail.polimi.it
Albert Y. Zomaya|0000-0002-3090-1059|5|1974|GBpgg@duck.com
Nathalie Weidenfeld|2354-3373-2560-3301|10|1980|CkUBNR@outlook.it
Mohamed Benmohammed|7797-0875-3857-6084|1|1950|jKlXi@tiscali.it
Massimo Ruffolo|0000-0002-4094-4810|7|1977|vtvGg@tiscali.it
Peng Dong 0001|4873-3545-6249-9489|6|1959|nIqXsf@mail.polimi.it
Iskander Kort|8997-0121-9454-9749|7|1947|lGvmYOD@gmail.com
Martin Burger 0001|5821-6157-0244-7800|1|1981|Nmxrhd@mail.polimi.it
Emir Muñoz|0000-0002-0089-8135|4|1985|kCfbdR@duck.com
Roland Krause|0862-7925-7490-5827|7|1969|bFGtGn@tiscali.it
Masoud Daneshtalab|0000-0001-6289-1521|1|1989|klUAv@duck.com
Romain Rouvoy|2169-7273-8128-0356|2|1963|mBJlGj@tiscali.it
Bingwei Liu|1765-5158-7275-7379|3|1971|goDOUcn@outlook.it
Takaya Kawakatsu|0000-0003-1285-2748|5|1964|ZrDaWrT@duck.com
Mohamed A. Sharaf|1334-6501-4023-3116|10|1985|Akjmf@gmail.com
Christine Collet|6942-6744-5303-1912|1|1984|yaYjF@mail.polimi.it
Joachim Rathmann|5306-4441-8994-6434|8|1969|DeKWqRF@duck.com
Carlo Fantozzi|0000-0003-3210-4632|7|1956|ISXAlIu@gmail.com
Li Li 0040|5911-4433-5140-8726|7|1940|NuWNZSN@gmail.com
Mauro Barbieri|4161-2348-0083-4073|1|1953|BVlXuEk@outlook.it
Madusudhanan Bairappan|8752-7169-0091-2993|3|1972|pFgbp@gmail.com
Éric Leclercq|0000-0001-6382-2288|8|1962|hoQTuF@tiscali.it
Maha Jebalia|3932-0132-3295-1152|6|1952|ChPhE@gmail.com
Juan Pablo Hourcade|5565-9606-9990-2787|1|1943|PTvVHf@duck.com
Wolfgang J. Paul|4788-3042-5614-0023|9|1947|dUCEqzD@outlook.it
Dennis S. Bernstein|4398-7299-4004-1795|4|1946|lZMbr@outlook.it
Adriano Galati|1800-0051-2967-9483|12|1947|dGQDMC@tiscali.it
Davide Rossi|1063-6136-2761-1349|9|1954|YvjEV@tiscali.it
Louis Hoebel|7970-7947-7157-3252|12|1944|pjyzJxd@mail.polimi.it
Philippe Maurant|5866-8994-9954-2460|8|1945|zqoAdp@gmail.com
Zhengkui Wang|0347-3497-1530-1314|9|1942|LmjobL@duck.com
Tommaso Bolognesi|8731-4642-5649-7767|3|1981|dguarCn@duck.com
Martin Swany|6298-1937-6983-6937|1|1987|tEgBL@tiscali.it
Fredrik Milani|2558-0327-5927-1059|11|1984|ZGCWP@mail.polimi.it
Jaksa Vuckovic|7411-4897-6917-0874|2|1986|tVaqu@outlook.it
Denis Iwanesko Didjeko|3597-7877-7981-4004|3|1967|htjOk@outlook.it
Joakim Kävrestad|6783-1443-5830-2221|6|1955|cwCkbo@duck.com
Marco Rainone|0000-3505-5362-7385|11|1962|jythkld@gmail.com
Ralf Kneuper|7530-3112-1350-1440|2|1949|TahHU@gmail.com
Valentina Semucci|0610-2066-9582-2566|2|1962|CixhhV@duck.com
Alfredo Cuzzocrea|0000-0002-7104-6415|2|1974|mWVHfx@duck.com
Arunkumar Thangavelu|3749-5744-2339-2781|10|1951|AurlBg@gmail.com
Luigi Fornaro|4301-3611-9607-9518|1|1979|gdQRnZw@duck.com
Yassine El Ghayam|0000-0002-3921-2620|11|1953|WcQnSQN@mail.polimi.it
Edmund K. Burke|7552-0065-5960-6582|6|1945|RSksYe@tiscali.it
Ravi Jhawar|8614-6268-2796-1952|6|1979|aYpEn@mail.polimi.it
Daniel Herrscher|3728-7379-8205-9584|6|1976|btubF@outlook.it
Nacera Ghoualmi-Zine|0105-5928-0866-7712|8|1953|NonZjj@tiscali.it
Klaus-Dieter Schewe|8512-1615-7449-0018|12|1945|GJamL@mail.polimi.it
Cláudio F. R. Geyer|5589-7617-0550-2663|1|1962|FPutyke@duck.com
Jyotishman Pathak|2873-4591-8021-3212|6|1980|kVrys@gmail.com
Uppaluri S. R. Murty|9547-5400-4126-9412|11|1952|qpqKS@gmail.com
Manoranjan Dash|8914-2985-3554-3364|9|1957|mfgthr@duck.com
Alessandra Cavarra|4775-0485-0568-2100|1|1965|lFkPkF@mail.polimi.it
Sabri Allani|4622-2764-7652-6460|6|1986|FDHRq@duck.com
Jagannathan Srinivasan|7142-3931-0816-2228|9|1959|sXYjRHc@duck.com
Lothar Thiele|3965-3997-6539-1476|5|1966|OIqLaOT@gmail.com
Parvaneh Parvin|2072-4447-7077-7927|2|1972|XeynvhR@gmail.com
Aref Meddeb|2247-5534-9279-6068|12|1964|UMCnj@mail.polimi.it
Peter Pepper|4328-0175-3772-7950|10|1977|ezUwHT@mail.polimi.it
Divyakant Agrawal|9047-3971-3666-4544|5|1947|OFQQmaH@outlook.it
Lakhmi C. Jain|9100-1647-2590-8805|6|1973|pZhCW@mail.polimi.it
Khaled Boussetta|2224-6274-4849-4591|11|1988|DhGgJZp@outlook.it
Francesco Amato|2702-9310-9387-3404|11|1972|ADcMqCn@outlook.it
Farhad Norouzi|6851-0151-2697-4589|7|1966|MssGVX@outlook.it
Lilia Idir|2666-1304-5004-5978|5|1948|mflyjm@mail.polimi.it
Vanga Odelu|0000-0001-6903-0361|4|1974|vOOFYkC@gmail.com
Mercedes Amor|6652-0435-7709-8672|7|1971|XtJpc@tiscali.it
Christos Tryfonopoulos|0000-0003-0640-9088|8|1946|GfWDg@tiscali.it
Kamil Borawski|7261-6304-8618-3159|3|1972|UOdba@duck.com
Jean-Pierre Petit|4512-2354-2453-7292|9|1960|WikHeN@mail.polimi.it
Özlem Özgöbek|9090-3540-7835-1127|12|1940|ZCmjX@gmail.com
Giovanni Quattrone|4026-9862-6469-8779|6|1981|fWgRHC@gmail.com
Christian Böhm|0887-5190-5638-2426|10|1974|pLmNMbC@tiscali.it
Francisco Dominguez|0000-0003-0909-7585|12|1987|vlRCoJ@outlook.it
Laetitia Jourdan|0000-0002-4170-6830|8|1976|JBqEgeg@outlook.it
Jong-Hwan Kim|6598-6909-0833-2982|6|1972|yXUvywX@outlook.it
Igor Bilogrevic|4840-6396-6034-3281|2|1989|xXeVo@duck.com
Mihalis Petropoulos|5422-0282-2098-7806|1|1983|vsIbsHt@gmail.com
Hatem Ibn-Khedher|2429-2100-9496-7919|11|1957|DPHNbx@gmail.com
Susan L. Tighe|7319-3791-0977-1450|3|1958|XNgel@gmail.com
John Longley|0709-1782-0055-2928|1|1961|qACOpPs@tiscali.it
Marco Manca|4487-2523-5080-7276|7|1984|VFkNsq@outlook.it
Marc Finthammer|6276-0319-3940-5577|9|1962|RTZHfzS@outlook.it
Talal H. Noor|6117-4374-8976-8501|9|1963|CDXHTMH@tiscali.it
Jari Veijalainen|8594-3687-2075-5304|10|1975|RgGbfHV@tiscali.it
Yao Xu|8095-1344-7009-9028|1|1965|GCeqyL@outlook.it
Wee-Juan Tan|1820-4974-1394-4999|7|1952|yDaXtvT@tiscali.it
Lorenzo Monti|0000-0002-2087-0535|5|1962|DIxWJwT@tiscali.it
Eleni Papadaki|2023-6731-6863-3844|11|1987|EGPgu@gmail.com
Luca Carlone|9381-4579-7559-2496|8|1941|ekhbJ@tiscali.it
Gabriele Paolacci|0000-0002-9938-7940|7|1972|ltGXY@tiscali.it
Kristina Kapanova|5884-3030-0333-8109|7|1960|QoStZAy@tiscali.it
Gerry Howser|9129-5540-1472-1081|7|1944|xiUEqy@mail.polimi.it
Walter Rudametkin|0000-0003-2903-7600|8|1984|MeKnEu@mail.polimi.it
Hercules Dalianis|5984-3027-4888-9685|7|1984|APADUNH@tiscali.it
Richard Chbeir|2331-6936-6610-2055|4|1972|cDAIfh@mail.polimi.it
Kalyanmoy Deb|8424-8682-3742-2603|7|1988|XYKlHZv@tiscali.it
Jocelyne Elias|1506-2294-8724-3575|2|1978|VPgRCF@gmail.com
Andrea Reale|6198-2894-0482-4748|8|1943|yUPgt@duck.com
Yu Kang 0001|9226-1642-0379-5523|2|1954|urVsg@tiscali.it
Imran Khaliq|0000-0003-3590-1880|12|1985|uCiuv@duck.com
Debabrota Basu|8030-9056-2370-0017|10|1984|FJNiY@tiscali.it
Layth Sliman|0000-0003-3369-7302|3|1980|TuFqllp@duck.com
Francesco Gennai|7567-9665-1391-0708|12|1973|DprWL@gmail.com
Taehyun Kim 0003|6117-7126-8566-4302|3|1967|WtqFqS@mail.polimi.it
Xianyi Zhang|6105-4877-6911-0249|3|1979|nYubIFd@outlook.it
Zahia Guessoum|9548-8308-8932-6705|3|1983|btuEHX@outlook.it
Razak Seidu|0545-7039-5982-9087|3|1971|zAJvTGp@outlook.it
Giacomo Cabri|1860-3094-7371-5270|5|1951|UFriC@outlook.it
Burton S. Garbow|7862-0821-1377-3050|4|1974|iljLY@tiscali.it
Kahina Hassam|8436-9772-9920-6364|12|1945|voGXoF@duck.com
Silvia Bertacchi|9643-8269-3435-0613|6|1982|mSuSw@gmail.com
Filippo Muzzini|0000-0001-6523-0366|5|1942|auHoyy@outlook.it
Mila Nikolova|4180-8991-4150-2999|6|1962|xjppaKX@outlook.it
Giulia Cavagnoli|5783-5247-9559-9915|9|1954|pqLPJf@mail.polimi.it
Vladimir M. Vishnevsky|0000-0001-7373-4847|6|1964|JWfuW@mail.polimi.it
Fatiha Benali|9216-0865-5685-6112|10|1975|vLqWg@gmail.com
B. C. H. Turton|0932-1221-9816-9160|4|1951|uwjXRm@tiscali.it
Antonio Greco|0000-0001-6674-5468|11|1989|Ayymnz@outlook.it
Jean Mayo|5709-5096-7207-5014|5|1969|ifnBMoz@tiscali.it
Rémy Cazabet|0000-0002-9429-3865|11|1987|Hxick@mail.polimi.it
Michele Nucci|7573-5391-8027-4264|9|1947|KUcXRU@mail.polimi.it
Jean-Charles Pomerol|1915-9341-7621-2143|1|1944|bSZQW@outlook.it
Ziad El Bitar|3551-9588-8121-5873|7|1984|NaIcDCl@mail.polimi.it
Marc Shapiro 0001|7622-8647-2018-9707|12|1976|RVZmOl@duck.com
Arie Shoshani|2315-6741-8178-1376|8|1955|OmwVoo@tiscali.it
Sarah Spiekermann-Hoff|0938-5095-3094-7862|10|1971|rnzfGIh@gmail.com
Xi He 0001|4529-2138-1466-9768|3|1987|GKRvaX@gmail.com
Elio Mansour|0000-0002-5325-7526|8|1958|cTToCOb@outlook.it
Jaroslav Zendulka|2873-5934-6427-0101|9|1976|zZSSO@gmail.com
Patrick Meier|7428-7904-5407-6921|4|1961|EtwwIZ@mail.polimi.it
Robert Hopp|0447-6741-9914-3609|10|1983|oHYhxPQ@tiscali.it
Aïcha Mokhtari|0824-8078-7547-5100|5|1963|BeHxSx@duck.com
Lubica Benuskova|0569-0916-5683-2699|3|1967|TUOGNi@tiscali.it
Tanel Tammet|3222-4172-7063-5844|9|1943|KcaiD@outlook.it
Yun Yang 0001|3286-4695-4988-0661|9|1986|EoqoIb@outlook.it
Ramanathan Kavasseri|4639-1766-9471-7826|5|1983|ShhrNS@outlook.it
Sushmita Paul|9461-1806-8319-5104|4|1970|FNGmzSS@gmail.com
Reza Akbarinia|9212-3157-4061-5449|8|1952|ReWnBD@gmail.com
Ian Miguel|9942-6249-2281-0850|11|1989|nMShKik@tiscali.it
Alice James|7279-2995-9047-3254|7|1970|WJUcgD@tiscali.it
Y. Parmantier|1089-5678-8220-6541|8|1977|nNlLRmB@mail.polimi.it
Nga Nguyen Thi|4043-8113-4145-2953|4|1945|syiMR@tiscali.it
Mohamed F. Mokbel|2612-7279-6246-7333|9|1943|KRnXbnS@mail.polimi.it
Thomas Polacsek|2171-6170-9530-9256|5|1943|giAXOs@outlook.it
Dacheng Liu|8647-3935-1167-5659|1|1974|ICbRfg@duck.com
Holger Kaschner|6473-0408-4404-1114|7|1969|NahJor@tiscali.it
Werner Schafhauser|3275-9116-4981-5132|6|1955|YSogds@mail.polimi.it
Atif M. Memon|2269-7782-6009-7741|6|1948|vuTRb@tiscali.it
Angélica de Antonio|9866-1186-8596-2224|9|1950|AmAxI@mail.polimi.it
Sangeet Saha|2118-3388-3959-8899|11|1954|nPguOY@mail.polimi.it
Ramesh C. Jain|8798-5033-6986-2652|4|1972|iUNEGN@outlook.it
Mrutyunjaya Panda|2129-5527-4686-3724|8|1970|drDqxt@gmail.com
Stefan Wild|5457-5024-1727-9876|6|1975|puTJF@duck.com
Enrique Alba 0001|6105-3476-1815-9310|10|1946|jbAltk@outlook.it
Laurent Guittet|1834-4408-5315-1042|12|1944|osIRCxn@duck.com
David Link|5812-1894-8667-0392|9|1982|ongqpPH@mail.polimi.it
Stefano Cimmino|3499-0651-3584-6096|8|1984|vwSCXF@gmail.com
Hendrik Decker|0448-3812-5824-5988|7|1975|AyfJPJB@mail.polimi.it
Alexander Gornov|7443-9622-7814-2411|9|1972|pskVkX@duck.com
Andrea Lodi 0001|0290-1654-2783-7368|3|1971|wyHrl@gmail.com
Marian Borek|2760-5335-5123-5913|12|1961|nfsCV@mail.polimi.it
Thomas R. Gross|6583-6570-0225-9561|6|1987|rDieD@duck.com
Lukas Gruber|9300-0156-8228-8594|12|1948|SHQVqjp@tiscali.it
Anne Benoit|0000-0003-2910-3540|11|1965|CQaoMWM@mail.polimi.it
Clemens Pechstein|1270-7767-3693-6119|2|1984|qwjUhQ@outlook.it
Christopher G. Harris 0001|0000-0002-5214-8512|11|1978|bzjeNj@mail.polimi.it
Edward L. Deci|7667-7839-5388-0539|6|1952|dksRhK@duck.com
Tomohisa Yamaguchi|1705-9584-8388-9868|10|1974|RvolZGM@gmail.com
Daniel Knorreck|7313-6739-8365-9310|12|1967|MDnTUC@gmail.com
Dirk Helbing|3025-4036-6462-7247|5|1965|TApKIKA@duck.com
Nicolas Durand 0001|8474-1552-5647-5615|5|1975|hvdqcz@gmail.com
William R. B. Lionheart|9990-2238-6003-5269|1|1941|iaFUlu@mail.polimi.it
Norberto Mondragón|5176-9023-3553-3254|1|1958|lhHIs@outlook.it
Ron Cytron|9674-1020-4310-1451|1|1955|SbDoae@outlook.it
Jihong Guan|7708-6292-6576-5197|11|1943|NzzWJ@outlook.it
Stuart Dillon|0000-0002-8963-0804|1|1969|nOhkoKs@gmail.com
Stuart Reeves|4313-7165-5747-9261|3|1989|yWYmxOs@mail.polimi.it
Gerhard Friedrich|2579-1254-7654-7119|11|1974|HqLgW@outlook.it
Ben He|7479-0930-7870-5710|9|1957|pylgNi@gmail.com
Lukasz Kaiser|2513-6189-2349-6024|4|1949|EUuSzLr@gmail.com
Pierre Senellart|0000-0002-7909-5369|6|1963|xjflwW@duck.com
Hans Weda|8536-1102-1006-6792|12|1974|XafPoeW@outlook.it
Reza Ghorbani|4615-3360-0486-3346|3|1950|uklxPtB@mail.polimi.it
Edmond Bianco|2046-3016-6162-6149|5|1945|jVcJm@outlook.it
Kelsey Karpinski|6971-8982-0328-9667|12|1985|cCLOM@gmail.com
Paul De Bra|6785-8161-9123-3712|12|1979|iynCmI@mail.polimi.it
Mohamad Kanaan|9783-9797-6887-5291|4|1944|cHRfr@gmail.com
Paul Hertz|2221-4151-7727-5650|1|1968|XZOLuwV@outlook.it
Giancarlo Succi|2663-8641-0425-9720|10|1972|gqHVF@outlook.it
Chang Zhao|4496-6382-2521-5563|11|1961|Olhjh@tiscali.it
Than Van Le|8994-3537-0828-1342|1|1943|sHjQty@duck.com
Jaakko Astola|0000-0002-2750-5311|6|1983|vgGAFk@tiscali.it
Valérie Issarny|5864-4733-9754-1504|12|1966|WYtgYEj@gmail.com
Ashwin Machanavajjhala|6687-2837-9146-4952|6|1948|FusZEl@gmail.com
Hui Jin 0001|4476-5374-4894-9858|12|1941|chBDAtg@tiscali.it
Christoph G. Jung|8503-1384-5695-6225|6|1969|QFpQis@mail.polimi.it
Georg Rainer Hofmann|1712-7414-0253-1638|1|1953|EOqeWJU@gmail.com
Hai-Tao Zhang|4332-8216-4372-5743|1|1972|MJobHBZ@mail.polimi.it
Wolfgang Deiters|3981-0044-4197-9784|11|1984|ovOCBS@tiscali.it
Jirí Soukup|5983-5205-9737-7795|12|1961|RCTcogO@duck.com
Wooju Kim|0000-0001-5828-178X|8|1975|hkTjsv@outlook.it
Aboubacar Cissé|2270-8939-5848-9499|11|1951|QVEiPOr@outlook.it
Erfan Sheikhi|9627-4435-5029-3017|3|1943|XtofQe@mail.polimi.it
Henri Prade|9490-4609-1243-3649|3|1945|ztgrH@tiscali.it
