name|orcid|month_of_birth|year_of_birth|mail|bio
Birgit Endrass|4516-4225-1165-9840|11|1942|VhEXXqX@tiscali.it|I'm a fan...
Ralf Hofmann|6226-8904-7346-4079|11|1957|xTBwZE@gmail.com|Oreo flavored crackers without the creme filling
Isabel Rosseti|3888-4833-3181-6894|10|1953|YUCfDV@duck.com|Not impressed
Xiaoming Wu|9651-3278-1386-6461|12|1987|HDLBaC@duck.com|CRISPY, CRUNCHY, AND CHOCOLATEY
Leonidas Mindrinos|0000-0002-7807-8153|12|1950|XSJWOxT@tiscali.it|Delicious Mini Chocolate Treats Help Weight Loss Efforts!
Sami Tabbane|4360-8136-9898-1503|6|1959|IHwfbh@mail.polimi.it|Delicious
Jian Lin 0006|0000-0003-3379-9173|11|1970|aEpVgd@duck.com|I agree with P. Lucas
Xavier Amatriain|6733-2774-6415-0311|5|1947|xfiAZ@gmail.com|Good? You CAN'T be serious
Marie-José Caraty|8725-0325-3169-4627|11|1973|MlkRzIB@mail.polimi.it|these ain't oreo's
Pradipta Maji|0000-0002-8288-8917|12|1969|XnAyQpq@mail.polimi.it|Good product but not fresh
Luciano Serafini|9877-7753-0825-3806|1|1984|UYeBJJc@outlook.it|I love these!!!
B. B. Amberker|3781-0295-4291-5996|10|1959|rMRbRd@outlook.it|Not so great
Carmen Santoro|4719-7283-5155-7599|11|1977|EhhNHu@outlook.it|nt
Dan Thomsen|6488-1815-3511-0955|1|1955|pIrLbe@duck.com|Amazing
Mohamed Quafafou|8585-9472-1285-9682|9|1946|nXwIw@duck.com|Worked very well
Peter Tandler|6117-7154-9573-7520|1|1956|XzHPDc@duck.com|Keeps my cats happy and healthy
Riccardo Torlone|4129-9587-3102-3815|11|1949|AOMEMbO@mail.polimi.it|All 3 of my cats refused to eat it
Stephan Baumann 0001|9248-8868-5298-4675|9|1968|qOTLbY@duck.com|The worst snap-lock reseal ever made?
Louis Frécon|8747-2951-7896-9432|11|1964|oaVfSSM@duck.com|Filler food is empty, leaves your cat always needing more
The Neem Platform|1864-4555-3719-1025|5|1949|avovCI@duck.com|She Loves It
Irina Deeva|5535-4695-3715-1499|10|1962|sAIhcL@duck.com|Kitty Junk Food
Lina Xu|7509-0949-2419-7658|12|1956|sPdZKO@gmail.com|Not minced, this is ground beef
José Martinez 0001|5677-9286-7465-3115|12|1983|mOVyYm@mail.polimi.it|Not minced
Guilian Wang|3472-7631-6123-2929|12|1971|GAxgx@mail.polimi.it|Kitty Junk Food
Wolfgang Scherl|8484-0492-0421-0450|1|1956|AXpawX@tiscali.it|Filler food is empty, leaves your cat always needing more
John P. McCrae|0000-0002-7227-1331|3|1963|szDboGT@duck.com|All By-Product & Corn -- Don't Waste Your Money!
Gabrio Rivera|3076-0888-4728-0720|12|1966|zemFj@duck.com|Quanty????
Leandro F. Cupertino|0401-1238-7627-6887|1|1950|OjfQuv@mail.polimi.it|Best Green Tea Ever!
Brad Perry|7996-4302-2678-3872|4|1982|dedYQ@tiscali.it|Looks better than it tasted, I'm told
Aleksandr Khasymski|8739-7021-8437-4306|5|1986|rUBRJc@outlook.it|Wow!!!!!!!!!!
Nicholas D. Duran|9947-7114-8501-3532|9|1964|FEYKpK@tiscali.it|I love, love, love, coffee!!!
George Tsakalidis|0000-0002-0889-7946|4|1969|aFxbOjW@mail.polimi.it|Parmesan Heaven
Tariq Abdullah|5053-5840-2829-7393|7|1943|ZfmiMB@tiscali.it|fantastic product
Luka Bradesko|9425-7187-9471-5641|2|1941|prFyHVL@outlook.it|Not happy with the product!
Nourhan Elsayed|8477-1413-1252-6982|10|1989|FvoIcWG@mail.polimi.it|these beans were wonderful
Dieter van Melkebeek|4443-5195-4569-4252|12|1959|DKlHBV@tiscali.it|Great Peanuts!
Christoph Braendli|4948-7951-8946-8869|6|1951|VbujERN@gmail.com|Much better than tea bags
Dickson K. W. Chiu|4295-3200-3958-4311|6|1959|huUqz@gmail.com|Love this stuff!!
Florian Grandhomme|4880-1506-1508-9014|4|1941|gGjys@outlook.it|totally satisfying!
Annie Pérez|7401-4442-6594-6641|7|1983|NnNZJGt@duck.com|Superlative store bought cookies: very hard to find!
Shima Zahmatkesh|0000-0002-7832-0288|6|1974|Emajujv@mail.polimi.it|Awful
Andreas Seiderer|0000-0001-5808-4807|8|1942|xnyMk@tiscali.it|Love this dressing! - Wild Thymes Products: Meyer Lemon Dressing
Vladimir Filkov|8541-0597-5883-6727|4|1950|yVDXdl@outlook.it|almost expired seaweed
Brennen Kelly|8815-6785-9207-6519|10|1971|slyfuLE@outlook.it|Deliciously seasoned, lite and crispy!
Brigitte Forster|3711-2390-5984-9305|9|1950|sDiTsEk@outlook.it|contains MSG
Mattia De Rosa|7147-5867-1877-8170|6|1948|xthTtIu@gmail.com|seaweed and rice
Sandeep Joshi|1458-8705-2609-2297|4|1964|kzBYiO@outlook.it|Great for snacking
Mira Mezini|2451-4638-9449-9568|4|1952|LTThqpR@outlook.it|Tasty
Jorge Nocedal|7368-7369-5264-2289|10|1987|eJETqbk@duck.com|hard to find in New York, glad amazon can deliver it
Lilian Weng|4230-7553-7417-1607|1|1945|MKYtovb@mail.polimi.it|1 star for price, 5 stars for taste
Steffen Staab|8285-3533-5264-9289|11|1954|bVEWfq@tiscali.it|Best tasting wheat free, gluten free cake mix available
Hamid Abdullah Jalab|0000-0002-4823-6851|3|1970|RbLbs@gmail.com|gluten free basic mix
Andrey Valerievich Borisov|0000-0002-7004-3140|11|1982|ugoPc@duck.com|Could have been better
Dario Maggiorini|0000-0002-7460-2966|12|1976|NpWqCR@duck.com|strange flavor
Lu Fan Zhang|8289-1811-5864-5543|12|1942|blYnPVF@duck.com|Awesome with some changes
Ron Musick|7842-3214-2125-6660|5|1958|TXfGvcQ@outlook.it|A cake for all occassions.
Maria Antónia Carravilla|0000-0002-9245-2674|1|1967|xXyXkJD@outlook.it|Namaste Foods, Gluten Free Vanilla cake Mix
Pietro Michelucci|0000-0002-9819-7221|6|1966|FRboas@outlook.it|yummy as cupcakes
Thomas Robert 0003|2778-2800-8206-9186|12|1965|LXwRJX@gmail.com|Tasty
Zhengshuai Peng|4498-3669-5510-3087|3|1978|RAmyb@gmail.com|2nd Birthday Saviour!
Oleksandra Yezerska|8116-3090-2585-3929|10|1943|aGKCvgW@gmail.com|Just awful
Hai-Long Nguyen|6230-2491-3604-7284|4|1960|Ugvvmp@mail.polimi.it|Large Quanity, discontinued seasonal delicious tea
Ana I. Martínez-Garcia|3315-1214-7814-3714|1|1970|ipRQh@outlook.it|SWEET DREAMS
Keith F. Carter|4762-0397-9749-8705|4|1951|iSbPNO@duck.com|The best for a winter tea party!
David C. Rine|2128-0309-6445-8760|1|1945|jeuSuuI@gmail.com|Wonderful
Clino Vallone|8534-0476-1970-5184|12|1987|fxoGY@mail.polimi.it|Love the tea!
Raya Leviathan|6252-9191-6689-1498|6|1967|RfSNQ@tiscali.it|Fun, Intense Holiday Tea
Souad Guessoum|6944-3353-7794-6785|3|1956|OsbSF@gmail.com|Fast shipping good company to buy from
Robert Carrese|3103-9147-8574-3625|2|1942|gswnu@duck.com|A very pleased customer
Hannes Jakschitsch|1275-9353-2089-2625|7|1969|JsopYTa@gmail.com|Great cookie and lots of fun
Paolino Di Felice|9246-1925-3593-3913|6|1958|KNZenzn@outlook.it|...while in bed
Sabra Neal|3245-6116-0748-9328|9|1975|lSOFi@mail.polimi.it|Fortune Cookies
Fedra Negri|7247-2288-2331-6180|11|1954|kMYFV@duck.com|Color Discrepancy
Laks V. S. Lakshmanan|9430-2941-4673-7641|10|1962|VOslLII@duck.com|crispy fresh
Samuel Jaburek|2423-6584-5031-0627|3|1947|grAlRrJ@mail.polimi.it|they are soooo tiny!
Noela Nakos|4235-0840-7533-5837|1|1952|LhYcROZ@duck.com|Excellent service and product
Mehrad Bastani|0394-6672-1617-0098|6|1967|jBwWHyG@outlook.it|boring boring boring
Meinald T. Thielsch|3294-3670-7081-0743|9|1973|QHINZ@outlook.it|feliciaflan
Roel J. Wieringa|8457-3393-5470-6066|2|1979|HkmorJl@mail.polimi.it|Fortune Cookies
Sebastian Wedeniwski|0695-7616-3875-7699|5|1947|omZxFa@tiscali.it|Very good
Enea Cippitelli|0000-0001-8806-8971|4|1983|uWhfey@mail.polimi.it|awsome!!
Jean-Luc Massat|5959-8440-2606-7905|10|1963|VRBxr@mail.polimi.it|PERFECT
Stefan Toth|6183-7915-4818-6874|12|1966|VBXqhx@duck.com|satisfied customer
Tofigh Allahviranloo|0501-4899-1329-0813|10|1942|FlwyI@mail.polimi.it|great product--but a rip-off on this site
Ying Zhao 0008|9160-7259-7669-8156|12|1946|BCCEKne@mail.polimi.it|Great aroma, and I don't like coffee
Eduardo G. Pardo|0000-0002-6247-5269|10|1973|ApTjzRg@duck.com|Jarred Paradise
Alin Deutsch|0160-4309-7527-7421|5|1986|nWDsq@gmail.com|Yummy!
Xavier Alamán|3828-1369-2712-3881|5|1954|BFXDCj@mail.polimi.it|Tastes Like Wint-O-Green Life Savers
Sylvain Hallé|0000-0002-4406-6154|2|1962|TOTdBo@outlook.it|Good popcorn, poor shipping
Clarisse Dhaenens|0000-0002-6590-7215|10|1953|fWDSk@tiscali.it|It's like Buttah!
Christos Voudouris|8542-6712-6100-9779|7|1947|YHoOeqk@gmail.com|Awesome snack, great product.
Zhu Li 0001|1477-1021-1786-6334|2|1977|WEMwm@duck.com|Handy Size
Andrea Masciadri|0000-0001-7623-9382|11|1966|krDaqhE@outlook.it|My cats love this tuna
Helmut Hansmaier|7939-8765-3716-6761|3|1966|uhUTe@tiscali.it|Good Nutrition and Right Size.
Adam Roman|1718-8646-8956-6127|11|1969|XfjMFj@outlook.it|convenient, filling, 70 calories and lots o protein = great work lunch item
Ibrahim Abdelaziz|0000-0003-1449-5115|9|1971|gfDcnvS@tiscali.it|Quick wild rice is ok
Masahiro Inuiguchi|0931-3972-2792-8557|8|1989|NqlcF@mail.polimi.it|Best Quick Cook Wild Rice.
Carson Kai-Sang Leung|0000-0002-7541-9127|7|1982|eBWTJ@gmail.com|Great Quality and convenient quick cooking
Geoff Coulson|7587-1278-7457-8060|8|1957|rkIRawl@outlook.it|Very good corral for 1 horse, maybe 2 with additional electric tape
Piero Fraternali|4256-5026-8378-3129|3|1982|jtHul@gmail.com|Easy and portable...but a few issues
Bernd Hofmann 0001|3207-6953-7690-7995|8|1958|kZQBz@mail.polimi.it|Easy Assembly - Great for Alpacas!
Brian Toone|3003-0264-5616-1714|5|1978|OhZwL@duck.com|Nicely thought out kit for temporary grazing etc
Masashi Sugiyama|0000-0001-6658-6743|2|1951|prYyRRs@mail.polimi.it|Easy Setup, Nice Design
Georgia Kougka|7193-8074-3285-5305|6|1980|iBQtg@duck.com|Works for us
Kathleen Jensen|8547-4495-5248-8365|4|1953|hwNCz@outlook.it|Great for short term fencing!
Ian Horrocks 0001|0000-0002-2685-7462|4|1952|gOqWzE@mail.polimi.it|It is very easy to set up.
Vipin Tyagi|0000-0003-4994-3686|8|1969|QUXaeGX@outlook.it|Good
Yu Lei 0002|8277-7919-6589-8632|9|1963|pZtOKGN@mail.polimi.it|Love it!
Martin Op't Land|7166-8756-4957-9141|9|1973|WFRTYVd@gmail.com|Real Truffle Oil makes a Difference
Thomas A. Young|7219-8590-6887-7646|12|1952|XLdkZ@tiscali.it|No more guilt snacking the grand-babies!
Claudia León|9057-2220-7376-6646|10|1964|VUyfX@tiscali.it|DELICIOUS!!!
Alain Thomas|6248-6092-1983-6949|3|1967|ZsYLlP@outlook.it|WhoNu? Chocolate Sandwich Creme Cookies ~~ DELICIOUS AND HEALTHIER THAN THE MAJOR NAME BRAND !!!
Shankar Karuppayah|5547-2872-5262-2518|4|1980|UVrvk@tiscali.it|SO delicious!
Anita Wasilewska|2379-6794-6404-9096|12|1958|ISBrJwf@gmail.com|Delicious, but.....
Gerard O'Regan|3008-3306-7592-1144|6|1986|ucGVzKp@mail.polimi.it|Okay
Barbara M. Masini|4960-5706-7966-9655|1|1978|RSdqVae@gmail.com|Really good cookies!
Alejandro Dizan Vasquez Govea|0820-6702-9530-6846|9|1941|CJSdvYA@mail.polimi.it|These are good but..........................
Mukesh Kumar Saini|0308-8361-7387-1173|2|1959|ZQmkbq@gmail.com|Stay away from this company
Leonidas Fegaras|4389-7512-8271-9361|7|1941|TTMlak@tiscali.it|nice caramel flavor
Andreas Margelisch|8235-7753-5465-7934|4|1987|oODCU@duck.com|Cafe Excellence Crazy caramet whole beans 2 pound
Thomas Heissner|9444-0802-6621-0777|3|1972|OBgYJT@outlook.it|orbit white peppermint is the best!
Daniel A. Keim|3849-1588-4759-3334|4|1979|QiwerM@tiscali.it|The best bad breath and no fowl after taste
Carsten Ullrich|7396-9359-1073-5665|9|1940|tVRwn@outlook.it|Great Chocolates
Tomasz P. Zielinski|0000-0001-5078-522X|5|1978|BJubgF@outlook.it|Excellent Chocolates
Jean-Michel Morel|2945-3561-0366-9181|1|1973|NZYBYog@tiscali.it|Snyder's Best Flavor
Ingrid M. Walter|9256-8179-9388-7286|2|1980|QqXza@mail.polimi.it|One of the best snacks going.
Remi Coletta|3677-7619-0812-1415|6|1964|oTeJj@gmail.com|Thanks for carrying these!
Radwane Saad|9775-7769-5913-1490|5|1948|SisMg@tiscali.it|Great
James Dowdall|9958-5160-1028-6876|10|1954|UlXzWJ@mail.polimi.it|A favorite quick meal solution
Jan Mendling|7741-1563-2299-4789|11|1957|ZImqHE@duck.com|A Staple in my house
Yuchao Zhang|2866-7507-5299-4813|9|1973|BrmIN@outlook.it|Best Coffee Ever...
Thanh-Nghi Do|3501-2774-3446-0244|5|1953|oNRgSd@mail.polimi.it|Island coffee
Peter Buchholz 0001|0000-0002-9966-7686|6|1958|oXwZuL@tiscali.it|Great mild coffee
Melanie Weis|7496-4479-2441-5222|11|1960|zVOSMF@outlook.it|Flavor didn't work for me; back to Honey Nut
Cemal Yilmaz|3264-6974-0794-7110|11|1962|uOqomPk@duck.com|Delicious Treat!!!
Michael Luck|1114-3602-4349-8692|11|1980|IdASg@outlook.it|Passover treat
S. Watt|4026-8750-6666-9065|9|1945|CcqDNbw@duck.com|Not particularly good
Nicolas Liebau|1247-2120-9690-4245|5|1973|thrqqoS@tiscali.it|Excellent!
Leonardo Querzoni|4301-0648-2632-2632|8|1958|IYWoZ@tiscali.it|My new FAVE pasta!
Bertil Lindenfalk|0000-0003-0123-6392|7|1978|sNKIO@duck.com|Daughter's favorite food
Andreas Lux|0407-1861-3864-2423|5|1965|bgzUN@outlook.it|Now this is PASTA!
Corien Prins|7444-5478-1976-3987|11|1983|RbPqaX@outlook.it|Great product
María Vanessa Villasana|0000-0002-4957-9477|3|1966|JVYWnlN@outlook.it|"My husband called these ""healthy brownies"""
Liangzhao Zeng|3703-9956-3622-3346|5|1946|OSUlKaY@duck.com|Guilt Free YUMMMMM!
Quoc Thai Tran|1760-8165-3882-8317|8|1962|eGGPPdH@gmail.com|Hodgson mill brownie mix
Yolanda Gil|0000-0001-8465-8341|11|1973|SFmXc@gmail.com|Healtier, but not guilt-free...
Xian-Da Zhang|9204-8026-6257-7578|5|1971|ZRcNf@gmail.com|Needs a few additions
Osman Khalid|2395-6158-2129-3278|5|1963|BKohE@tiscali.it|Love 'em!!
Konstantinos Chorianopoulos|1672-9480-1818-1648|9|1953|iAaieX@gmail.com|Yummy!
Ronny Lempel|4283-0691-8944-1671|3|1979|SlDYFB@mail.polimi.it|Higher fiber, yet tasty... especially if you add mini-chips
Cláudio Da Silva Alves|2019-9794-5957-3492|1|1978|dNrIm@duck.com|These are grrrrrrrreat!
Honglei Li 0005|6504-4505-5745-3293|3|1963|DDhnFv@tiscali.it|Good if you like flax seed.
Ji Liu 0003|5515-0789-8275-7360|4|1961|HSWdBAc@duck.com|oily, gritty finished product
Xia Ning|7545-5543-3844-5557|2|1952|ZXYlu@mail.polimi.it|A feel better brownie- some health.
Johanna Völker|2935-3964-1994-8904|7|1966|Qdych@outlook.it|good healthy dessert but needs work
Carlos Gonzalez|4605-0795-3353-6414|7|1942|RSEIurS@outlook.it|Grainy Brownies
Yiyao Lu|1444-8528-2037-2380|4|1957|CljspP@tiscali.it|Best  Brownies
Iván Martínez-Ortiz|3432-7590-9376-8855|8|1972|PMuPg@duck.com|Delicious Brownie
Christopher Kruegel|1590-6007-5551-6423|2|1987|zpHoX@tiscali.it|Not extraordinary
Kévin Chapron|0000-0002-7071-782X|6|1943|yRqGTZY@mail.polimi.it|Surprised by all the good reviews
Nicolas Lumineau|8158-8948-2171-7788|10|1963|ctOqLBr@outlook.it|Plenty and fresh
Zhimiao Tao|0068-4574-2253-2418|10|1972|eHWFUzh@tiscali.it|Excellent produce
Emmanuel Haucourt|2986-2336-4290-1372|6|1978|jGDpDI@outlook.it|Exceptional
Tongtong Li|6714-6452-9106-2380|1|1977|hVyib@mail.polimi.it|Excellent Casablanca Tea
Khurram Aziz|0000-0002-6928-6110|10|1965|aEYGay@outlook.it|Yummy!
Miguel Kiyoshy Nakamura Pinto|2093-3814-8502-8178|3|1988|CJQWj@duck.com|wonderful loose leaf tea
Stefano Nolfi|5059-2306-0078-4178|10|1941|yxJIr@mail.polimi.it|Goodness!
Christine Natschläger-Carpella|1957-3839-7164-2758|8|1955|EMCvA@duck.com|Delicious
Jeffrey Scott Vitter|1290-9216-4361-3458|4|1947|sliomnO@outlook.it|EFFECTIVE AND SOOTHING TEA FOR KIDS THROAT
I. V. Ramakrishnan|0947-3482-1629-8574|5|1953|OkvfrY@gmail.com|Wonderful Healthy Snack for Baby!
Noel De Palma|0353-7938-6440-1068|12|1973|HAvgh@outlook.it|crack for toddlers
Aaron M. Peddle|3493-7882-5266-1771|8|1969|YcZpUW@mail.polimi.it|Got them for my dog with heart failure
Kofi A. A. Makinwa|4912-6309-9175-8431|6|1941|kPlDX@duck.com|Flavor & texture not good in this batch
Mayukh Dass|9340-4883-9301-4934|2|1960|vevhegT@mail.polimi.it|Love!
Wiem Abdelbaki|0000-0002-0798-2831|8|1944|GAQSsL@tiscali.it|Great for Little Ones
K. Chandrasekaran|6757-2941-1539-7105|7|1978|nTAJNJy@gmail.com|A great way to get kids to eat vegetables!
Eric Chaudhry|7674-9070-1491-3718|2|1954|oLOVn@outlook.it|great toddler snacks
François S. Chaghaghi|4918-9253-9919-1689|2|1988|XecuS@gmail.com|Great toddler snack; inconsistent quality
Mohamad El Masri|7087-9978-0747-5456|5|1941|JJFMaOm@outlook.it|amazing snack! My KIDS love them, too!
Michael Hind|0805-0717-3541-3230|12|1971|czySSV@duck.com|Very good but too expensive
Gonçalo H. A. Correia|0000-0002-9785-3135|10|1973|kMpPTR@duck.com|Not Gluten Free!!!!!!
Dietmar Wolfram|7768-9925-3894-1230|10|1966|XFohD@gmail.com|You get a lot...but has a lot of uses
Weigang Wang|4593-6629-7947-0038|7|1943|wkSOv@tiscali.it|dog treats
Oliver Rüthing|0071-7294-1250-9569|9|1963|eBMhebr@outlook.it|Delish smoked cheese I will buy over and over again!
Michael Blumenstein|3939-5015-2987-7353|7|1964|AMtbjS@tiscali.it|Fantastic Goat Cheese
Sandra Teixeira|1144-3710-1480-4840|8|1985|lbFAIQ@tiscali.it|Very delicious coffee!
Scott Rettberg|0000-0002-7401-5075|10|1980|JCniF@duck.com|I LOVE this coffee!
Horacio Hideki Yanasse|2801-2185-0355-7250|3|1943|mvbcm@outlook.it|Better than Starbucks
Kwangjo Kim|0000-0002-8922-6203|3|1944|KNqAtN@duck.com|great alternative for coffee drinkers
Fabrice Kordon|7437-8130-0613-0119|6|1955|MkfNIrE@gmail.com|DELICIOUS
Patrícia Azevedo Tedesco|6459-6241-0795-8843|8|1949|FfCfQUI@gmail.com|I only drink puroast coffee!
Lourdes M. Morales-Villaverde|6067-9615-0969-4247|7|1955|YoulUcT@duck.com|Nice alternative to regular coffee...
Vassilis Plachouras|2828-6219-5481-2455|11|1961|cpxyK@mail.polimi.it|Wonderful substitute...
Fábio Pereira|3403-1533-0365-1293|11|1965|bGHWz@tiscali.it|Low acid makes a difference
Rhyd Lewis|5962-9194-9130-1860|8|1942|gADlO@outlook.it|Low acid taste - tastes more like a medium roast
Vincent Olive|2764-5507-4641-6283|11|1974|cpUMN@outlook.it|A Good News, Bad News Situation for Low-Acid Drinkers
Ling-Ling Yan|0771-7699-3594-5836|3|1941|qqkSNS@tiscali.it|Surprisingly good and no nausea!
Peer Kröger|9323-4033-1673-2146|2|1961|ofxZdV@gmail.com|Best Coffee Ever
Riccardo Guidotti|0000-0002-2827-7613|7|1960|NHtlhcg@outlook.it|Single worst coffee ever
Raghu Ramakrishnan|8747-8395-2177-0425|1|1966|taEFhN@outlook.it|The Worst Tasting Coffee I Have EVER Tasted!
Andreas Luszczak|2506-7616-8730-9473|3|1973|MxkSF@mail.polimi.it|Undrinkable
Debi Prasanna Acharjya|6274-6463-0511-8406|6|1957|atBqG@duck.com|Ugh.
Kang Zhang 0001|4792-1817-4513-2871|6|1950|pVsFh@tiscali.it|Can be improved easily
Franziska Klügl|9608-2892-4246-0186|2|1962|LJyJlw@mail.polimi.it|An excellent bread machine mix.
Josep Domingo-Ferrer|5720-1246-8530-7936|6|1975|npZXKQq@mail.polimi.it|Yummmyyyy
Adel Benaissa|9921-9545-2995-9811|7|1989|twXXLVw@gmail.com|Great, glorious, super, wonderful, delicious bread!!!
Yannis Marinakis|8040-7345-0969-8422|12|1972|JrSzOx@mail.polimi.it|Good Back to the Basics bread
Radko Mesiar|9139-4941-6592-5756|12|1953|xhlosf@tiscali.it|potato bread
Mario Tokoro|0833-5156-7466-7580|7|1968|keDXiAL@outlook.it|AWSOME BREAD!!!!!!!
François Bry|0000-0002-0532-6005|4|1976|oQTmuo@duck.com|Hodgson Potato Bread
Andreas Paepcke|9055-7755-6350-0434|9|1971|KgMpkbD@mail.polimi.it|Always a great Brand - full line of products 2 choose from
Milan Vlach|9161-5722-6411-4176|9|1952|fSXMK@gmail.com|Great bread
Peter Niblett|0893-9108-1418-8524|10|1983|KgYYOfx@mail.polimi.it|How Good!
Iván Trejo-Zúñiga|0000-0002-4983-4626|3|1956|hfchJ@tiscali.it|potato bread mix
Peter Lake|9197-1395-8595-9831|2|1980|mqyCc@tiscali.it|My Fave Hodgson Mill Bread Mix!
Ninghui Li|6793-0404-4494-4330|11|1988|flUQE@mail.polimi.it|Hodgson Mill Bread Mix Products
Roney Cordenonsi|2768-9165-5110-6420|2|1984|pUeCMko@duck.com|What a Great Product
George Dimitrakopoulos|6982-1571-4934-7477|8|1985|EWsWygb@mail.polimi.it|Excellent bread mix
Abdelghani Benharref|1389-1724-4992-6062|9|1977|oBBnIE@outlook.it|Nice bread
Alexander Franz|3647-2052-6945-8211|8|1988|xjqYqw@gmail.com|Good to use the bread machine again
Malisa Vucinic|0000-0002-7700-9121|12|1950|qjRRh@gmail.com|Excellent bread mix
Annejet P. Meijler|9344-8467-7263-3771|11|1944|VLsxws@outlook.it|Great, easy homemade bread
Zakarya Drias|1227-5390-1666-9864|7|1949|BIFMy@outlook.it|Great Bread
Dimitri Voilmy|3417-6367-1481-5438|3|1955|WebOtXC@mail.polimi.it|Delicious Homemade bread
Donald Whiting|2333-7812-7619-3031|6|1969|puOeRk@duck.com|Potato Bread Winner
Johannes Kanig|8645-9813-4136-5416|3|1944|KgifBVO@gmail.com|Potato Bread
Zonghuan Wu|8930-1496-3483-0351|9|1973|KLtuuzQ@mail.polimi.it|good, tasty and easy bread
Simone Pribbenow|0001-3463-2749-3963|1|1944|wcOEUGK@duck.com|If you like gummy white bread . . . .
Hamamache Kheddouci|7718-4251-3173-0481|9|1968|gjDdMTm@mail.polimi.it|Bread
François Terrier|1049-6494-9555-2694|5|1953|HRGdGXm@mail.polimi.it|ABSOLUTELY DELICIOUS
Sherif Sakr|0000-0002-2503-523X|1|1965|svyKNVn@gmail.com|Delicioius Water I Didn't Have To Carry In
E. Hangel|7103-6934-4044-7859|8|1983|MpsxcW@tiscali.it|Great water!
S. Voigt|4972-9908-7488-2062|11|1953|hFxmHp@gmail.com|Good water only comes with a price...
Simon J. Cox|5511-0014-8355-5861|9|1963|okmAh@outlook.it|Best water ever.
Min Wang 0001|3336-2711-3510-9719|5|1983|Agqtfq@tiscali.it|Great Tasting Water
Vito Trianni|0000-0002-9114-8486|9|1961|VZWMgR@tiscali.it|Happy with the purchase
J. N. Venkatesh|8459-0571-8093-7992|3|1977|seDjJ@gmail.com|30 bottles instead of the usual 24
Arif Tumer|1078-4167-1280-1828|3|1966|GGqeEV@gmail.com|Awful
Utpal Pal|9733-0893-3446-6921|8|1961|Ruizj@mail.polimi.it|TalkingRain Spring Water
Frederick Maier|8070-2932-4308-8885|6|1975|dPendmh@gmail.com|excellent quality
Lei Zhang 0001|4898-4606-5675-6502|12|1947|sMhrPe@duck.com|Water for my pets.
Klaus Turowski|1575-3960-2133-2020|5|1945|ZoCJhK@outlook.it|Highly Recommend
André Santanchè|3064-3853-0857-4061|9|1962|kUAGdxH@gmail.com|Shipping packaging is poor
George Samaras|8026-8349-5470-3296|4|1968|ygkVj@gmail.com|Spring Water
Leah Bar|3532-9165-5988-8280|12|1956|rHUwei@duck.com|Most Washington water is better than this
Maria Adriana Vidigal de Lima|0147-7834-4887-0143|4|1972|EexEzv@tiscali.it|it's aight.
Junji Yamato|9782-8936-7573-6805|7|1943|VDXKpN@mail.polimi.it|just water-nothing more
Siddhartha Bhattacharyya|4568-7210-0190-3964|12|1948|PTLSKY@gmail.com|Cloudy means impurities!
Sameh Elnikety|8808-6612-2766-3912|11|1988|yHUFpBt@tiscali.it|A great buy
Christophe Pradal|0000-0002-2555-761X|2|1959|yNBdZ@duck.com|AMEDEI
Zhihui Lai|7967-5393-0288-1178|11|1940|Bmxql@tiscali.it|Its not Mango only but Grape, Pineapple
Sergej Alekseev|2825-8156-3338-8084|5|1969|gGAfe@duck.com|Nice, sweet mango
Ian Davidson|6815-0759-3882-3563|10|1982|rBFLw@duck.com|Bigger Amount/Smaller Price than Supermarkets
José Fernando Gonçalves|0000-0002-7565-4530|6|1973|oPRiZGZ@duck.com|Suzie's Puffed Thin Cakes
Amol Deshpande|3205-2864-9379-3121|9|1947|JZgtHA@duck.com|Excellent and healthy
Jules Degila|2783-7051-9456-8787|12|1975|fvMKQNv@gmail.com|"Great Little Rice ""Patties"""
Marek Rusinkiewicz|4134-8230-2168-6722|3|1988|VWbuQ@outlook.it|Great For Sandwiches
Luke Barrington|1171-0752-3577-3410|8|1952|tktKZbF@gmail.com|The best rice cake ever!
Juan-Carlos Cano|0154-3194-0465-2220|1|1948|rtQxyOT@gmail.com|Words fail me to describe how much I love these
Richard Fujimoto|9605-7269-3183-7056|7|1942|DiPMD@tiscali.it|Best gluten-free substitute for bread ! ! ! And worth every penny!
Marc Pirlot|2824-1767-9301-7550|2|1955|HvXmAb@gmail.com|Surprisingly Tasty
Panos K. Chrysanthis|0000-0001-7189-9816|3|1967|ZeuRD@outlook.it|Great light cracker substitute
Cristiano Russo|2925-1163-4215-0415|2|1959|kDbuuv@tiscali.it|The perfect delivery system!
Xuemin Lin 0001|7890-9866-1438-8825|2|1973|nbzmOjG@gmail.com|Better than expected
Norbert Siegmund|9862-2631-3651-3857|12|1958|bzuqup@mail.polimi.it|Too Much Inorganic Arsenic
Martin Hanke-Bourgeois|0477-2229-1064-2677|11|1978|IJFpxU@outlook.it|Best value
Fabiano Tarlao|7760-5201-6948-2248|10|1987|ewOOlFw@gmail.com|LOVED IT, SHARED IT, EVERYONE LOVED IT
Judie Attard|0000-0001-7507-1864|5|1945|mOWwXM@gmail.com|best snack
Elzbieta Hajnicz|7014-3214-5390-1794|6|1966|lyenTzS@mail.polimi.it|Delicious, low calorie and healthy snack. Good price too!
